0.0103349,0.738156,3.19935,,1.67173,
0.0203294,3.48952,13.515,,3.35052,
0.0303392,7.01696,24.6799,,3.55933,
0.0403337,10.5287,33.33,,3.47487,
0.0503282,13.9758,39.4978,,3.42903,
0.060338,17.3861,43.7692,,3.39394,
0.0703325,20.7551,46.7347,,3.34673,
0.080327,24.0719,48.8089,,3.29109,
0.0903368,27.3285,50.2927,,3.22673,
0.100331,30.5163,51.3241,,3.15465,
0.110326,33.627,52.083,,3.07434,
0.120336,36.6535,52.5652,,2.98622,
0.13033,39.5883,52.806,,2.89136,
0.14034,42.4246,52.891,,2.78992,
0.150334,45.1539,52.8343,,2.67962,
0.160329,47.771,52.6769,,2.56469,
0.170339,50.2692,52.4144,,2.44211,
0.180333,52.6406,52.0801,,2.31388,
0.190328,54.8817,51.6522,,2.18029,
0.200337,56.9845,51.1837,,2.0384,
0.210332,58.9437,50.6176,,1.89413,
0.220326,60.7565,50.0099,,1.74523,
0.230336,62.418,49.3386,,1.5924,
0.240331,63.9244,48.6207,,1.4349,
0.25034,65.2689,47.8319,,1.2714,
0.260335,66.4518,46.9888,,1.10877,
0.270329,67.4676,46.0503,,0.939941,
0.280339,68.3153,45.0444,,0.772047,
0.290334,68.9932,43.9488,,0.600149,
0.300328,69.4977,42.7645,,0.426312,
0.310338,69.8281,41.4415,,0.251844,
0.320332,69.985,40.0005,,0.0787078,
0.330327,69.9664,38.3982,,-0.0977062,
0.340337,69.7731,36.6203,,-0.271668,
0.350331,69.4053,34.645,,-0.446589,
0.360326,68.8635,32.4411,,-0.619021,
0.370336,68.1502,30.0327,,-0.790383,
0.38033,67.2669,27.3983,,-0.958966,
0.39034,66.2152,24.5632,,-1.1278,
0.400334,64.9969,21.5529,,-1.29116,
0.410329,63.6175,18.4382,,-1.45131,
0.420339,62.0785,15.2594,,-1.60991,
0.430333,60.3848,12.0792,,-1.76173,
0.440328,58.5398,8.94425,,-1.9129,
0.450337,56.5482,5.87684,,-2.05457,
0.460332,54.4164,2.88166,,-2.19486,
0.470326,52.1473,6.25E-03,,-2.32852,
0.480336,49.7477,-2.78664,,-2.45683,
0.490331,47.2234,-5.4856,,-2.57829,
0.50034,44.5822,-8.10615,,-2.6919,
0.510335,41.83,-10.6493,,-2.80062,
0.520329,38.9727,-13.1431,,-2.90307,
0.530339,36.0173,-15.5594,,-2.9966,
0.540334,32.9724,-17.9215,,-3.08347,
0.550328,29.8451,-20.2161,,-3.1617,
0.560338,26.6435,-22.4551,,-3.2334,
0.570332,23.375,-24.6531,,-3.29584,
0.580327,20.0486,-26.7797,,-3.35052,
0.590337,16.6716,-28.8747,,-3.39757,
0.600331,13.2526,-30.8818,,-3.43514,
0.610326,9.80067,-32.8336,,-3.46415,
0.620336,6.3246,-34.6926,,-3.48486,
0.63033,2.83233,-36.4772,,-3.49673,
0.64034,-0.66679,-38.1388,,-3.49975,
0.650334,-4.16416,-39.7233,,-3.49436,
0.660329,-7.65134,-41.1864,,-3.47973,
0.670339,-11.1192,-42.5052,,-3.45692,
0.680333,-14.5595,-43.6962,,-3.42565,
0.690328,-17.9636,-44.7578,,-3.3855,
0.700337,-21.3225,-45.6562,,-3.33564,
0.710332,-24.6279,-46.4178,,-3.2795,
0.720326,-27.872,-47.0402,,-3.21367,
0.730336,-31.0462,-47.5375,,-3.14095,
0.740331,-34.1432,-47.9066,,-3.0595,
0.75034,-37.1546,-48.1757,,-2.9711,
0.760335,-40.0729,-48.3209,,-2.87446,
0.770329,-42.8914,-48.3799,,-2.77137,
0.780339,-45.6026,-48.3311,,-2.66116,
0.790334,-48.1995,-48.2155,,-2.54347,
0.800328,-50.6763,-48.0165,,-2.421,
0.810338,-53.0273,-47.7553,,-2.29207,
0.820332,-55.244,-47.4241,,-2.15567,
0.830327,-57.3235,-47.0337,,-2.01585,
0.840337,-59.259,-46.5831,,-1.86915,
0.850331,-61.047,-46.0537,,-1.72108,
0.860326,-62.6829,-45.4608,,-1.56511,
0.870336,-64.161,-44.8028,,-1.40708,
0.88033,-65.4803,-44.0872,,-1.24563,
0.89034,-66.6339,-43.2877,,-1.07883,
0.900334,-67.6213,-42.4245,,-0.912199,
0.910329,-68.4406,-41.4682,,-0.743166,
0.920339,-69.0893,-40.4175,,-0.570354,
0.930333,-69.5646,-39.2391,,-0.398089,
0.940328,-69.8664,-37.9395,,-0.22265,
0.950337,-69.9935,-36.4887,,-0.0484486,
0.960332,-69.9449,-34.876,,0.127068,
0.970326,-69.7225,-33.0991,,0.301319,
0.980336,-69.3248,-31.1185,,0.47543,
0.990331,-68.7553,-28.9158,,0.646926,
1.00034,-68.0138,-26.4817,,0.818618,
1.01033,-67.1013,-23.8126,,0.988474,
1.02033,-66.0211,-20.9644,,1.15511,
1.03034,-64.7769,-17.918,,1.31668,
1.04033,-63.3704,-14.7985,,1.47935,
1.05033,-61.8051,-11.6247,,1.63493,
1.06034,-60.0853,-8.4411,,1.78874,
1.07033,-58.2148,-5.3133,,1.93619,
1.08033,-56.2007,-2.25167,,2.07835,
1.09034,-54.044,0.707451,,2.21931,
1.10033,-51.7531,3.57981,,2.34884,
1.11033,-49.3321,6.34157,,2.47883,
1.12034,-46.7874,8.9856,,2.59756,
1.13033,-44.1266,11.5321,,2.71137,
1.14034,-41.3557,13.9816,,2.81884,
1.15033,-38.4818,16.3137,,2.91803,
1.16033,-35.5123,18.568,,3.01111,
1.17034,-32.4525,20.7193,,3.09787,
1.18033,-29.3117,22.7801,,3.17473,
1.19033,-26.0977,24.7402,,3.24473,
1.20034,-22.8191,26.6062,,3.3055,
1.21033,-19.4831,28.3509,,3.3597,
1.22033,-16.0983,30.0409,,3.40422,
1.23034,-12.6734,31.6098,,3.44076,
1.24033,-9.21691,33.1027,,3.46777,
1.25034,-5.73757,34.4984,,3.48754,
1.26033,-2.24356,35.7915,,3.49773,
1.27033,1.25583,36.9935,,3.4995,
1.28034,4.75242,38.0961,,3.4929,
1.29033,8.2369,39.1019,,3.47654,
1.30033,11.7006,40.0338,,3.45185,
1.31034,15.1351,40.8594,,3.41921,
1.32033,18.5321,41.6136,,3.37754,
1.33033,21.8825,42.2699,,3.32686,
1.34034,25.1779,42.8276,,3.26868,
1.35033,28.4106,43.3093,,3.20191,
1.36033,31.5726,43.6853,,3.12815,
1.37034,34.6555,44.0093,,3.04468,
1.38033,37.6515,44.2306,,2.9553,
1.39034,40.5541,44.3773,,2.85873,
1.40033,43.3558,44.4568,,2.75297,
1.41033,46.0475,44.457,,2.6411,
1.42034,48.6243,44.3986,,2.5231,
1.43033,51.0801,44.2746,,2.39995,
1.44033,53.4083,44.0708,,2.26912,
1.45034,55.6031,43.8125,,2.13262,
1.46033,57.6587,43.4916,,1.99145,
1.47033,59.5697,43.0953,,1.84518,
1.48034,61.3326,42.6298,,1.69444,
1.49033,62.9418,42.1095,,1.53912,
1.50034,64.3937,41.5239,,1.37978,
1.51033,65.6836,40.8625,,1.21734,
1.52033,66.8115,40.1196,,1.05337,
1.53034,67.772,39.2891,,0.883588,
1.54033,68.5626,38.366,,0.714451,
1.55033,69.1815,37.3429,,0.540638,
1.56034,69.6275,36.2026,,0.36813,
1.57033,69.8992,34.928,,0.193542,
1.58033,69.9974,33.5063,,0.0191105,
1.59034,69.9201,31.9138,,-0.156143,
1.60033,69.6679,30.135,,-0.329669,
1.61033,69.2421,28.1508,,-0.504988,
1.62034,68.6426,25.9372,,-0.676569,
1.63033,67.8715,23.5007,,-0.848383,
1.64034,66.9308,20.8508,,-1.0156,
1.65033,65.8234,17.9891,,-1.18175,
1.66033,64.5513,14.9882,,-1.34553,
1.67034,63.1177,11.879,,-1.50546,
1.68033,61.5267,8.72446,,-1.66117,
1.69033,59.7807,5.60273,,-1.81373,
1.70034,57.8869,2.51228,,-1.95963,
1.71033,55.8471,-0.500395,,-2.10392,
1.72033,53.6681,-3.40165,,-2.23988,
1.73034,51.3546,-6.19466,,-2.37292,
1.74033,48.9129,-8.88052,,-2.49743,
1.75034,46.3485,-11.4423,,-2.61795,
1.76033,43.6683,-13.9082,,-2.73,
1.77033,40.8797,-16.2457,,-2.83528,
1.78034,37.9886,-18.4925,,-2.93621,
1.79033,35.0017,-20.6022,,-3.02655,
1.80033,31.9289,-22.6376,,-3.11007,
1.81034,28.7761,-24.5424,,-3.18694,
1.82033,25.5504,-26.3619,,-3.25593,
1.83033,22.2612,-28.0652,,-3.31522,
1.84034,18.9163,-29.6915,,-3.36744,
1.85033,15.5248,-31.2017,,-3.41016,
1.86033,12.0941,-32.6081,,-3.44626,
1.87034,8.63291,-33.919,,-3.47233,
1.88033,5.15043,-35.1437,,-3.48981,
1.89034,1.65492,-36.266,,-3.4987,
1.90033,-1.84449,-37.3085,,-3.49874,
1.91033,-5.33953,-38.2694,,-3.49036,
1.92034,-8.82104,-39.144,,-3.47309,
1.93033,-12.2807,-39.9263,,-3.44732,
1.94033,-15.7095,-40.6362,,-3.41215,
1.95034,-19.0985,-41.2657,,-3.36902,
1.96033,-22.4401,-41.8153,,-3.31812,
1.97033,-25.7262,-42.2854,,-3.25862,
1.98034,-28.9483,-42.6855,,-3.19071,
1.99033,-32.0969,-43.01,,-3.11376,
2.00034,-35.166,-43.2583,,-3.0306,
2.01033,-38.1469,-43.4458,,-2.93909,
2.02033,-41.0317,-43.5599,,-2.84026,
2.03034,-43.8148,-43.6072,,-2.73474,
2.04033,-46.4884,-43.5957,,-2.62218,
2.05033,-49.0447,-43.5063,,-2.50183,
2.06034,-51.4801,-43.3592,,-2.38028,
2.07033,-53.7879,-43.1515,,-2.24718,
2.08033,-55.9587,-42.8757,,-2.10811,
2.09034,-57.9903,-42.5603,,-1.96796,
2.10033,-59.8776,-42.1504,,-1.82044,
2.11033,-61.6147,-41.7113,,-1.66809,
2.12034,-63.1974,-41.1734,,-1.51275,
2.13033,-64.6226,-40.5858,,-1.35324,
2.14034,-65.8861,-39.9221,,-1.18952,
2.15033,-66.985,-39.1737,,-1.02417,
2.16033,-67.9166,-38.3483,,-0.855609,
